WARNING 2024-05-23 11:14:18,926 log Not Found: /en/send_teacher_notification/
DEBUG 2024-05-23 11:14:44,071 factory Provider `faker.providers.sbn` does not feature localization. Specified locale `en_US` is not utilized for this provider.
DEBUG 2024-05-23 11:14:44,072 factory Looking for locale `en_US` in provider `faker.providers.ssn`.
DEBUG 2024-05-23 11:14:44,079 factory Provider `faker.providers.ssn` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:44,081 factory Provider `faker.providers.user_agent` does not feature localization. Specified locale `en_US` is not utilized for this provider.
INFO 2024-05-23 11:14:46,858 autoreload C:\Users\total\Documents\Work\Clones\CollegeManagement-Django\main_app\teacher_views.py changed, reloading.
DEBUG 2024-05-23 11:14:46,859 proactor_events Using proactor: IocpProactor
INFO 2024-05-23 11:14:47,998 autoreload Watching for file changes with StatReloader
DEBUG 2024-05-23 11:14:48,858 factory Not in REPL -> leaving logger event level as is.
DEBUG 2024-05-23 11:14:48,861 factory Looking for locale `en_US` in provider `faker.providers.address`.
DEBUG 2024-05-23 11:14:48,870 factory Provider `faker.providers.address` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:48,872 factory Looking for locale `en_US` in provider `faker.providers.automotive`.
DEBUG 2024-05-23 11:14:48,881 factory Provider `faker.providers.automotive` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:48,882 factory Looking for locale `en_US` in provider `faker.providers.bank`.
DEBUG 2024-05-23 11:14:48,888 factory Specified locale `en_US` is not available for provider `faker.providers.bank`. Locale reset to `en_GB` for this provider.
DEBUG 2024-05-23 11:14:48,889 factory Looking for locale `en_US` in provider `faker.providers.barcode`.
DEBUG 2024-05-23 11:14:48,891 factory Provider `faker.providers.barcode` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:48,893 factory Looking for locale `en_US` in provider `faker.providers.color`.
DEBUG 2024-05-23 11:14:48,899 factory Provider `faker.providers.color` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:48,901 factory Looking for locale `en_US` in provider `faker.providers.company`.
DEBUG 2024-05-23 11:14:48,908 factory Provider `faker.providers.company` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:48,910 factory Looking for locale `en_US` in provider `faker.providers.credit_card`.
DEBUG 2024-05-23 11:14:48,912 factory Provider `faker.providers.credit_card` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:48,913 factory Looking for locale `en_US` in provider `faker.providers.currency`.
DEBUG 2024-05-23 11:14:48,919 factory Provider `faker.providers.currency` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:48,922 factory Looking for locale `en_US` in provider `faker.providers.date_time`.
DEBUG 2024-05-23 11:14:48,932 factory Provider `faker.providers.date_time` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:48,935 factory Provider `faker.providers.emoji` does not feature localization. Specified locale `en_US` is not utilized for this provider.
DEBUG 2024-05-23 11:14:48,936 factory Provider `faker.providers.file` does not feature localization. Specified locale `en_US` is not utilized for this provider.
DEBUG 2024-05-23 11:14:48,937 factory Looking for locale `en_US` in provider `faker.providers.geo`.
DEBUG 2024-05-23 11:14:48,946 factory Provider `faker.providers.geo` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:48,957 factory Looking for locale `en_US` in provider `faker.providers.internet`.
DEBUG 2024-05-23 11:14:48,983 factory Provider `faker.providers.internet` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:48,986 factory Provider `faker.providers.isbn` does not feature localization. Specified locale `en_US` is not utilized for this provider.
DEBUG 2024-05-23 11:14:48,987 factory Looking for locale `en_US` in provider `faker.providers.job`.
DEBUG 2024-05-23 11:14:49,001 factory Provider `faker.providers.job` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:49,003 factory Looking for locale `en_US` in provider `faker.providers.lorem`.
DEBUG 2024-05-23 11:14:49,016 factory Provider `faker.providers.lorem` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:49,021 factory Looking for locale `en_US` in provider `faker.providers.misc`.
DEBUG 2024-05-23 11:14:49,024 factory Provider `faker.providers.misc` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:49,025 factory Looking for locale `en_US` in provider `faker.providers.passport`.
DEBUG 2024-05-23 11:14:49,026 factory Provider `faker.providers.passport` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:49,028 factory Looking for locale `en_US` in provider `faker.providers.person`.
DEBUG 2024-05-23 11:14:49,039 factory Provider `faker.providers.person` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:49,042 factory Looking for locale `en_US` in provider `faker.providers.phone_number`.
DEBUG 2024-05-23 11:14:49,050 factory Provider `faker.providers.phone_number` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:49,052 factory Provider `faker.providers.profile` does not feature localization. Specified locale `en_US` is not utilized for this provider.
DEBUG 2024-05-23 11:14:49,052 factory Provider `faker.providers.python` does not feature localization. Specified locale `en_US` is not utilized for this provider.
DEBUG 2024-05-23 11:14:49,053 factory Provider `faker.providers.sbn` does not feature localization. Specified locale `en_US` is not utilized for this provider.
DEBUG 2024-05-23 11:14:49,053 factory Looking for locale `en_US` in provider `faker.providers.ssn`.
DEBUG 2024-05-23 11:14:49,061 factory Provider `faker.providers.ssn` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:49,063 factory Provider `faker.providers.user_agent` does not feature localization. Specified locale `en_US` is not utilized for this provider.
ERROR 2024-05-23 11:15:20,898 log Internal Server Error: /en/teacher/home/
Traceback (most recent call last):
  File "C:\Users\total\Documents\Work\Clones\CollegeManagement-Django\.venv\lib\site-packages\django\core\handlers\exception.py", line 47, in inner
    response = get_response(request)
  File "C:\Users\total\Documents\Work\Clones\CollegeManagement-Django\.venv\lib\site-packages\django\core\handlers\base.py", line 179, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
  File "C:\Users\total\Documents\Work\Clones\CollegeManagement-Django\main_app\teacher_views.py", line 115, in teacher_home
    attendance_per_schedule = [
  File "C:\Users\total\Documents\Work\Clones\CollegeManagement-Django\main_app\teacher_views.py", line 118, in <listcomp>
    'attendance_count': Attendance.objects.filter(classes=schedule,course_id=schedule.course_id).count()
  File "C:\Users\total\Documents\Work\Clones\CollegeManagement-Django\.venv\lib\site-packages\django\db\models\manager.py", line 85, in manager_method
    return getattr(self.get_queryset(), name)(*args, **kwargs)
  File "C:\Users\total\Documents\Work\Clones\CollegeManagement-Django\.venv\lib\site-packages\django\db\models\query.py", line 942, in filter
    return self._filter_or_exclude(False, *args, **kwargs)
  File "C:\Users\total\Documents\Work\Clones\CollegeManagement-Django\.venv\lib\site-packages\django\db\models\query.py", line 962, in _filter_or_exclude
    clone._filter_or_exclude_inplace(negate, *args, **kwargs)
  File "C:\Users\total\Documents\Work\Clones\CollegeManagement-Django\.venv\lib\site-packages\django\db\models\query.py", line 969, in _filter_or_exclude_inplace
    self._query.add_q(Q(*args, **kwargs))
  File "C:\Users\total\Documents\Work\Clones\CollegeManagement-Django\.venv\lib\site-packages\django\db\models\sql\query.py", line 1358, in add_q
    clause, _ = self._add_q(q_object, self.used_aliases)
  File "C:\Users\total\Documents\Work\Clones\CollegeManagement-Django\.venv\lib\site-packages\django\db\models\sql\query.py", line 1377, in _add_q
    child_clause, needed_inner = self.build_filter(
  File "C:\Users\total\Documents\Work\Clones\CollegeManagement-Django\.venv\lib\site-packages\django\db\models\sql\query.py", line 1258, in build_filter
    lookups, parts, reffed_expression = self.solve_lookup_type(arg)
  File "C:\Users\total\Documents\Work\Clones\CollegeManagement-Django\.venv\lib\site-packages\django\db\models\sql\query.py", line 1084, in solve_lookup_type
    _, field, _, lookup_parts = self.names_to_path(lookup_splitted, self.get_meta())
  File "C:\Users\total\Documents\Work\Clones\CollegeManagement-Django\.venv\lib\site-packages\django\db\models\sql\query.py", line 1481, in names_to_path
    raise FieldError("Cannot resolve keyword '%s' into field. "
django.core.exceptions.FieldError: Cannot resolve keyword 'course_id' into field. Choices are: attendancereport, classes, classes_id, date, id, session, session_id
ERROR 2024-05-23 11:15:30,340 log Internal Server Error: /en/teacher/home/
Traceback (most recent call last):
  File "C:\Users\total\Documents\Work\Clones\CollegeManagement-Django\.venv\lib\site-packages\django\core\handlers\exception.py", line 47, in inner
    response = get_response(request)
  File "C:\Users\total\Documents\Work\Clones\CollegeManagement-Django\.venv\lib\site-packages\django\core\handlers\base.py", line 179, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
  File "C:\Users\total\Documents\Work\Clones\CollegeManagement-Django\main_app\teacher_views.py", line 115, in teacher_home
    attendance_per_schedule = [
  File "C:\Users\total\Documents\Work\Clones\CollegeManagement-Django\main_app\teacher_views.py", line 118, in <listcomp>
    'attendance_count': Attendance.objects.filter(classes=schedule,course_id=schedule.course_id).count()
  File "C:\Users\total\Documents\Work\Clones\CollegeManagement-Django\.venv\lib\site-packages\django\db\models\manager.py", line 85, in manager_method
    return getattr(self.get_queryset(), name)(*args, **kwargs)
  File "C:\Users\total\Documents\Work\Clones\CollegeManagement-Django\.venv\lib\site-packages\django\db\models\query.py", line 942, in filter
    return self._filter_or_exclude(False, *args, **kwargs)
  File "C:\Users\total\Documents\Work\Clones\CollegeManagement-Django\.venv\lib\site-packages\django\db\models\query.py", line 962, in _filter_or_exclude
    clone._filter_or_exclude_inplace(negate, *args, **kwargs)
  File "C:\Users\total\Documents\Work\Clones\CollegeManagement-Django\.venv\lib\site-packages\django\db\models\query.py", line 969, in _filter_or_exclude_inplace
    self._query.add_q(Q(*args, **kwargs))
  File "C:\Users\total\Documents\Work\Clones\CollegeManagement-Django\.venv\lib\site-packages\django\db\models\sql\query.py", line 1358, in add_q
    clause, _ = self._add_q(q_object, self.used_aliases)
  File "C:\Users\total\Documents\Work\Clones\CollegeManagement-Django\.venv\lib\site-packages\django\db\models\sql\query.py", line 1377, in _add_q
    child_clause, needed_inner = self.build_filter(
  File "C:\Users\total\Documents\Work\Clones\CollegeManagement-Django\.venv\lib\site-packages\django\db\models\sql\query.py", line 1258, in build_filter
    lookups, parts, reffed_expression = self.solve_lookup_type(arg)
  File "C:\Users\total\Documents\Work\Clones\CollegeManagement-Django\.venv\lib\site-packages\django\db\models\sql\query.py", line 1084, in solve_lookup_type
    _, field, _, lookup_parts = self.names_to_path(lookup_splitted, self.get_meta())
  File "C:\Users\total\Documents\Work\Clones\CollegeManagement-Django\.venv\lib\site-packages\django\db\models\sql\query.py", line 1481, in names_to_path
    raise FieldError("Cannot resolve keyword '%s' into field. "
django.core.exceptions.FieldError: Cannot resolve keyword 'course_id' into field. Choices are: attendancereport, classes, classes_id, date, id, session, session_id
WARNING 2024-05-23 11:15:30,672 log Not Found: /favicon.ico
INFO 2024-05-23 11:15:38,516 autoreload C:\Users\total\Documents\Work\Clones\CollegeManagement-Django\main_app\teacher_views.py changed, reloading.
DEBUG 2024-05-23 11:15:38,517 proactor_events Using proactor: IocpProactor
INFO 2024-05-23 11:15:40,007 autoreload Watching for file changes with StatReloader
DEBUG 2024-05-23 11:15:41,334 factory Not in REPL -> leaving logger event level as is.
DEBUG 2024-05-23 11:15:41,337 factory Looking for locale `en_US` in provider `faker.providers.address`.
DEBUG 2024-05-23 11:15:41,348 factory Provider `faker.providers.address` has been localized to `en_US`.
DEBUG 2024-05-23 11:15:41,351 factory Looking for locale `en_US` in provider `faker.providers.automotive`.
DEBUG 2024-05-23 11:15:41,361 factory Provider `faker.providers.automotive` has been localized to `en_US`.
DEBUG 2024-05-23 11:15:41,363 factory Looking for locale `en_US` in provider `faker.providers.bank`.
DEBUG 2024-05-23 11:15:41,371 factory Specified locale `en_US` is not available for provider `faker.providers.bank`. Locale reset to `en_GB` for this provider.
DEBUG 2024-05-23 11:15:41,374 factory Looking for locale `en_US` in provider `faker.providers.barcode`.
DEBUG 2024-05-23 11:15:41,376 factory Provider `faker.providers.barcode` has been localized to `en_US`.
DEBUG 2024-05-23 11:15:41,381 factory Looking for locale `en_US` in provider `faker.providers.color`.
DEBUG 2024-05-23 11:15:41,393 factory Provider `faker.providers.color` has been localized to `en_US`.
DEBUG 2024-05-23 11:15:41,395 factory Looking for locale `en_US` in provider `faker.providers.company`.
DEBUG 2024-05-23 11:15:41,413 factory Provider `faker.providers.company` has been localized to `en_US`.
DEBUG 2024-05-23 11:15:41,416 factory Looking for locale `en_US` in provider `faker.providers.credit_card`.
DEBUG 2024-05-23 11:15:41,420 factory Provider `faker.providers.credit_card` has been localized to `en_US`.
DEBUG 2024-05-23 11:15:41,424 factory Looking for locale `en_US` in provider `faker.providers.currency`.
DEBUG 2024-05-23 11:15:41,438 factory Provider `faker.providers.currency` has been localized to `en_US`.
DEBUG 2024-05-23 11:15:41,441 factory Looking for locale `en_US` in provider `faker.providers.date_time`.
DEBUG 2024-05-23 11:15:41,471 factory Provider `faker.providers.date_time` has been localized to `en_US`.
DEBUG 2024-05-23 11:15:41,474 factory Provider `faker.providers.emoji` does not feature localization. Specified locale `en_US` is not utilized for this provider.
DEBUG 2024-05-23 11:15:41,475 factory Provider `faker.providers.file` does not feature localization. Specified locale `en_US` is not utilized for this provider.
DEBUG 2024-05-23 11:15:41,477 factory Looking for locale `en_US` in provider `faker.providers.geo`.
DEBUG 2024-05-23 11:15:41,479 factory Provider `faker.providers.geo` has been localized to `en_US`.
DEBUG 2024-05-23 11:15:41,480 factory Looking for locale `en_US` in provider `faker.providers.internet`.
DEBUG 2024-05-23 11:15:41,489 factory Provider `faker.providers.internet` has been localized to `en_US`.
DEBUG 2024-05-23 11:15:41,490 factory Provider `faker.providers.isbn` does not feature localization. Specified locale `en_US` is not utilized for this provider.
DEBUG 2024-05-23 11:15:41,491 factory Looking for locale `en_US` in provider `faker.providers.job`.
DEBUG 2024-05-23 11:15:41,496 factory Provider `faker.providers.job` has been localized to `en_US`.
DEBUG 2024-05-23 11:15:41,498 factory Looking for locale `en_US` in provider `faker.providers.lorem`.
DEBUG 2024-05-23 11:15:41,502 factory Provider `faker.providers.lorem` has been localized to `en_US`.
DEBUG 2024-05-23 11:15:41,504 factory Looking for locale `en_US` in provider `faker.providers.misc`.
DEBUG 2024-05-23 11:15:41,505 factory Provider `faker.providers.misc` has been localized to `en_US`.
DEBUG 2024-05-23 11:15:41,506 factory Looking for locale `en_US` in provider `faker.providers.passport`.
DEBUG 2024-05-23 11:15:41,507 factory Provider `faker.providers.passport` has been localized to `en_US`.
DEBUG 2024-05-23 11:15:41,508 factory Looking for locale `en_US` in provider `faker.providers.person`.
DEBUG 2024-05-23 11:15:41,519 factory Provider `faker.providers.person` has been localized to `en_US`.
DEBUG 2024-05-23 11:15:41,522 factory Looking for locale `en_US` in provider `faker.providers.phone_number`.
DEBUG 2024-05-23 11:15:41,531 factory Provider `faker.providers.phone_number` has been localized to `en_US`.
DEBUG 2024-05-23 11:15:41,533 factory Provider `faker.providers.profile` does not feature localization. Specified locale `en_US` is not utilized for this provider.
DEBUG 2024-05-23 11:15:41,533 factory Provider `faker.providers.python` does not feature localization. Specified locale `en_US` is not utilized for this provider.
DEBUG 2024-05-23 11:15:41,534 factory Provider `faker.providers.sbn` does not feature localization. Specified locale `en_US` is not utilized for this provider.
DEBUG 2024-05-23 11:15:41,534 factory Looking for locale `en_US` in provider `faker.providers.ssn`.
DEBUG 2024-05-23 11:15:41,542 factory Provider `faker.providers.ssn` has been localized to `en_US`.
DEBUG 2024-05-23 11:15:41,545 factory Provider `faker.providers.user_agent` does not feature localization. Specified locale `en_US` is not utilized for this provider.
ERROR 2024-05-23 11:15:43,634 log Internal Server Error: /en/teacher/home/
Traceback (most recent call last):
  File "C:\Users\total\Documents\Work\Clones\CollegeManagement-Django\.venv\lib\site-packages\django\core\handlers\exception.py", line 47, in inner
    response = get_response(request)
  File "C:\Users\total\Documents\Work\Clones\CollegeManagement-Django\.venv\lib\site-packages\django\core\handlers\base.py", line 179, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
  File "C:\Users\total\Documents\Work\Clones\CollegeManagement-Django\main_app\teacher_views.py", line 115, in teacher_home
    attendance_per_schedule = [
  File "C:\Users\total\Documents\Work\Clones\CollegeManagement-Django\main_app\teacher_views.py", line 118, in <listcomp>
    'attendance_count': Attendance.objects.filter(classes=schedule,course_id=schedule.course).count()
  File "C:\Users\total\Documents\Work\Clones\CollegeManagement-Django\.venv\lib\site-packages\django\db\models\manager.py", line 85, in manager_method
    return getattr(self.get_queryset(), name)(*args, **kwargs)
  File "C:\Users\total\Documents\Work\Clones\CollegeManagement-Django\.venv\lib\site-packages\django\db\models\query.py", line 942, in filter
    return self._filter_or_exclude(False, *args, **kwargs)
  File "C:\Users\total\Documents\Work\Clones\CollegeManagement-Django\.venv\lib\site-packages\django\db\models\query.py", line 962, in _filter_or_exclude
    clone._filter_or_exclude_inplace(negate, *args, **kwargs)
  File "C:\Users\total\Documents\Work\Clones\CollegeManagement-Django\.venv\lib\site-packages\django\db\models\query.py", line 969, in _filter_or_exclude_inplace
    self._query.add_q(Q(*args, **kwargs))
  File "C:\Users\total\Documents\Work\Clones\CollegeManagement-Django\.venv\lib\site-packages\django\db\models\sql\query.py", line 1358, in add_q
    clause, _ = self._add_q(q_object, self.used_aliases)
  File "C:\Users\total\Documents\Work\Clones\CollegeManagement-Django\.venv\lib\site-packages\django\db\models\sql\query.py", line 1377, in _add_q
    child_clause, needed_inner = self.build_filter(
  File "C:\Users\total\Documents\Work\Clones\CollegeManagement-Django\.venv\lib\site-packages\django\db\models\sql\query.py", line 1258, in build_filter
    lookups, parts, reffed_expression = self.solve_lookup_type(arg)
  File "C:\Users\total\Documents\Work\Clones\CollegeManagement-Django\.venv\lib\site-packages\django\db\models\sql\query.py", line 1084, in solve_lookup_type
    _, field, _, lookup_parts = self.names_to_path(lookup_splitted, self.get_meta())
  File "C:\Users\total\Documents\Work\Clones\CollegeManagement-Django\.venv\lib\site-packages\django\db\models\sql\query.py", line 1481, in names_to_path
    raise FieldError("Cannot resolve keyword '%s' into field. "
django.core.exceptions.FieldError: Cannot resolve keyword 'course_id' into field. Choices are: attendancereport, classes, classes_id, date, id, session, session_id
WARNING 2024-05-23 11:15:43,814 log Not Found: /favicon.ico
INFO 2024-05-23 11:16:09,722 autoreload C:\Users\total\Documents\Work\Clones\CollegeManagement-Django\main_app\teacher_views.py changed, reloading.
DEBUG 2024-05-23 11:16:09,723 proactor_events Using proactor: IocpProactor
INFO 2024-05-23 11:16:10,841 autoreload Watching for file changes with StatReloader
DEBUG 2024-05-23 11:16:12,365 factory Not in REPL -> leaving logger event level as is.
